,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
CAT-13f,-9.093,-12.100087377246883,0.7974260449409485
CAT-13d,-10.473,-9.726148667749431,0.6362347602844238
CAT-4c,-7.853,-8.117107841190364,0.8403624892234802
CAT-13b,-9.123,-8.92489871662524,0.5522861480712891
CAT-4l,-9.343,-6.414206477817562,0.7267494201660156
CAT-13m,-8.763,-10.449863883670833,0.7168949842453003
CAT-4k,-7.853,-7.188938352283504,0.8703234791755676
CAT-13n,-8.543,-7.706398579296137,0.7639145255088806
CAT-13o,-8.543,-8.900637838062313,0.6545060276985168
CAT-13a,-8.843,-9.272792103704479,0.5389638543128967
CAT-13k,-9.703,-9.931588384326961,0.6581826210021973
CAT-17a,-10.733,-10.281028303321865,0.7906441688537598
CAT-17f,-9.423,-8.461582931694057,0.7724475264549255
CAT-13i,-9.273,-10.450180026706722,0.6593748927116394
CAT-17d,-9.423,-6.293498489078548,0.7779701948165894
CAT-13c,-9.323,-9.107505443510082,0.6884787082672119
CAT-17c,-9.863,-8.773020002063777,0.8543920516967773
CAT-24,-11.35,-11.971049520191219,0.9111940264701844
CAT-17i,-9.473,-9.108187350448635,0.7134871482849121
CAT-13g,-9.093,-11.432079884227779,0.935219943523407
CAT-4j,-9.023,-7.267636510547664,1.6009379625320437
CAT-17b,-10.023,-9.971168431457546,0.739345133304596
CAT-4p,-10.083,-10.572506519969966,1.557607650756836
CAT-17h,-10.333,-9.3928844770458,0.7432206273078918
CAT-4b,-9.633,-11.09664079826739,0.6608148813247681
CAT-17g,-9.743,-7.496577474292781,0.7570692300796509
CAT-4d,-9.113,-11.158760997470882,0.649389386177063
CAT-4m,-9.153,-10.351486953910854,1.5902416706085205
CAT-13e,-9.963,-11.652094098743465,0.8563320636749268
CAT-4n,-9.093,-9.458426154222753,1.5913641452789309
CAT-4o,-9.383,-8.864884170707729,1.600203275680542
CAT-4a,-7.933,-8.236826392826107,0.8234659433364868
CAT-13j,-8.733,-9.192313137468364,0.6725156307220459
CAT-13h,-9.633,-9.095377716239955,0.9020500779151917
CAT-4i,-8.263,-7.983906599697139,0.6496297121047974
CAT-17e,-10.023,-9.812709393915203,0.7592030167579651
