,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
CAT-13f,-9.093,-7.943242712674869,0.9782975912094116
CAT-13d,-10.473,-10.553361578641665,0.6643531322479248
CAT-4c,-7.853,-7.689497633634342,1.141132116317749
CAT-13b,-9.123,-10.059549017606509,1.112004280090332
CAT-4l,-9.343,-6.427119894681704,1.0407304763793943
CAT-13m,-8.763,-9.621794833598864,1.1009665727615356
CAT-4k,-7.853,-6.954298182187808,0.8899682760238647
CAT-13n,-8.543,-7.815157099424137,0.8482585549354553
CAT-13o,-8.543,-9.790541662631762,0.7575851082801819
CAT-13a,-8.843,-11.008952661214602,0.6695294380187988
CAT-13k,-9.703,-7.936073585210575,1.0748614072799685
CAT-17a,-10.733,-11.2066803414209,0.8149656057357788
CAT-17f,-9.423,-9.329547664879096,0.8456105589866638
CAT-13i,-9.273,-10.755616231618655,1.597398281097412
CAT-17d,-9.423,-7.059707089124453,0.925882875919342
CAT-13c,-9.323,-9.904943062721026,1.239401936531067
CAT-17c,-9.863,-9.660398273525965,0.9439632892608644
CAT-24,-11.35,-13.498823328672184,1.0772851705551147
CAT-17i,-9.473,-10.004436119256747,0.7280303239822388
CAT-13g,-9.093,-8.697100027261508,0.8252381086349487
CAT-4j,-9.023,-7.226926012693179,1.0544884204864502
CAT-17b,-10.023,-10.962643905339968,0.7541714310646057
CAT-4p,-10.083,-9.865896775184405,0.9623602628707886
CAT-17h,-10.333,-10.013188167272341,0.7750502228736877
CAT-4b,-9.633,-10.844034357724917,0.8506879806518555
CAT-17g,-9.743,-8.264442845044863,0.7696849703788757
CAT-4d,-9.113,-11.09445039814545,0.9225586652755736
CAT-4m,-9.153,-9.667417331395876,1.038533091545105
CAT-13e,-9.963,-8.758998497186434,0.7508418560028076
CAT-4n,-9.093,-8.550348146615756,1.0250401496887207
CAT-4o,-9.383,-8.398095293699038,1.054936170578003
CAT-4a,-7.933,-7.785045548139347,0.8645928502082825
CAT-13j,-8.733,-10.692436619458926,0.8429155349731445
CAT-13h,-9.633,-9.2469742584808,0.9265952706336976
CAT-4i,-8.263,-8.275765343366396,1.0163240432739258
CAT-17e,-10.023,-10.651495500264895,0.7772635221481323
