,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
CAT-13f,-9.093,-10.449820597349769,0.9072673916816713
CAT-13d,-10.473,-10.371897835909492,0.7467721700668335
CAT-4c,-7.853,-7.675923068701392,0.7349653244018555
CAT-13b,-9.123,-10.65812524098075,1.2672227621078491
CAT-4l,-9.343,-6.2862541272035894,1.0616072416305542
CAT-13m,-8.763,-9.12577860492385,0.8936454057693481
CAT-4k,-7.853,-6.892162997900611,0.7416396141052246
CAT-13n,-8.543,-7.349373061834937,0.7420728802680969
CAT-13o,-8.543,-9.788047332941657,0.892012357711792
CAT-13a,-8.843,-11.408310253798133,0.7630178928375244
CAT-13k,-9.703,-7.232829053579932,1.0486489534378052
CAT-17a,-10.733,-10.86335714596427,0.914853572845459
CAT-17f,-9.423,-8.89122362869895,0.8689209818840027
CAT-13i,-9.273,-11.142725188910132,2.407828092575073
CAT-17d,-9.423,-6.6103205277315435,0.8958717584609985
CAT-13c,-9.323,-10.650325257956153,2.3286969661712646
CAT-17c,-9.863,-9.107179154335624,0.9375277757644652
CAT-24,-11.35,-12.156080920874244,1.071725845336914
CAT-17i,-9.473,-9.68181099432624,0.8035255670547485
CAT-13g,-9.093,-9.389329471319085,0.9609555602073668
CAT-4j,-9.023,-7.519633133589393,1.3481000661849976
CAT-17b,-10.023,-10.520178277670508,0.8245921730995178
CAT-4p,-10.083,-10.294560988127357,1.2663216590881348
CAT-17h,-10.333,-9.688863058268195,0.8546872138977051
CAT-4b,-9.633,-10.531645496069556,0.7529346346855164
CAT-17g,-9.743,-7.884979088484412,0.845073938369751
CAT-4d,-9.113,-10.924324233709937,0.7583373188972473
CAT-4m,-9.153,-10.057722766577369,1.3031073808670044
CAT-13e,-9.963,-10.270135779558784,0.7337940335273743
CAT-4n,-9.093,-9.136009026943809,1.314584732055664
CAT-4o,-9.383,-8.727670152365333,1.3253397941589355
CAT-4a,-7.933,-7.462073881804114,0.7054216265678406
CAT-13j,-8.733,-10.224157710253364,0.7052454948425293
CAT-13h,-9.633,-9.045751352488166,1.058660626411438
CAT-4i,-8.263,-7.911349852263099,1.0349202156066897
CAT-17e,-10.023,-10.285070736586219,0.8446313738822937
