,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
CAT-13f,-9.093,-11.480946324368833,1.655007004737854
CAT-13d,-10.473,-9.682770482798935,0.4537338018417358
CAT-4c,-7.853,-8.16612591554773,0.934260368347168
CAT-13b,-9.123,-8.93328990747583,0.4668385088443756
CAT-4l,-9.343,-6.80071880628717,0.8298476338386536
CAT-13m,-8.763,-10.177761159440399,0.6308367252349854
CAT-4k,-7.853,-7.4703147630895375,0.6642374396324158
CAT-13n,-8.543,-7.780921242734313,0.8085286617279053
CAT-13o,-8.543,-9.430905074881286,0.9543233513832092
CAT-13a,-8.843,-9.469670388450742,0.4800469279289245
CAT-13k,-9.703,-9.907783977290512,0.6092310547828674
CAT-17a,-10.733,-10.276467047234894,0.6128494739532471
CAT-17f,-9.423,-8.347914240857483,0.7157827615737915
CAT-13i,-9.273,-9.912831239005447,0.6401389241218567
CAT-17d,-9.423,-6.219278357526184,0.7442578077316284
CAT-13c,-9.323,-8.513910255929352,0.586126983165741
CAT-17c,-9.863,-8.4297445039953,0.7994689345359802
CAT-24,-11.35,-11.293238780995727,1.0250829458236694
CAT-17i,-9.473,-9.111603580018402,0.5956736207008362
CAT-13g,-9.093,-12.056560299893738,1.2735459804534912
CAT-4j,-9.023,-7.469231389066101,0.9526689648628236
CAT-17b,-10.023,-9.944619498750091,0.5560498237609863
CAT-4p,-10.083,-10.535814545651794,0.8289722204208374
CAT-17h,-10.333,-9.357171311577678,0.554916501045227
CAT-4b,-9.633,-11.22729625513208,0.6074816584587097
CAT-17g,-9.743,-7.6040090542043455,0.6314582824707031
CAT-4d,-9.113,-11.412780545255066,0.6036398410797119
CAT-4m,-9.153,-10.259332142373443,0.8926275968551636
CAT-13e,-9.963,-10.88783731271875,0.6287248730659485
CAT-4n,-9.093,-9.450354894226313,0.8985867500305176
CAT-4o,-9.383,-8.77462633659494,0.9063215255737304
CAT-4a,-7.933,-8.456960163613678,0.6451592445373535
CAT-13j,-8.733,-9.855693153640152,0.7298018932342529
CAT-13h,-9.633,-9.127843878766418,0.5813958048820496
CAT-4i,-8.263,-8.54929228832376,0.8138059377670288
CAT-17e,-10.023,-9.839380882283569,0.5769076943397522
