,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
30,-9.812,-9.527522073864937,0.81483393907547
28,-11.112,-10.384602384448051,0.7364272475242615
1oiy,-9.785,-8.826029674887657,0.4451238811016083
1oi9,-9.741,-9.84971036183834,0.4973595142364502
32,-9.75,-9.466466562628746,0.7669098973274231
1oiu,-9.083,-10.993891434550285,0.7209646105766296
29,-9.882,-10.300539569735527,0.7955162525177002
1h1r,-7.669,-8.22866191136837,0.4646124243736267
21,-7.828,-7.1887352036237715,0.5519634485244751
26,-8.431,-8.793068663954735,0.689423680305481
1h1s,-11.246,-9.900979058623314,0.6449435353279114
31,-9.539,-8.809010283827782,0.8839302659034729
20,-8.718,-9.309481607556343,0.4919594228267669
22,-7.862,-7.659821228861809,0.5737252831459045
17,-7.041,-8.275361435294151,0.5206327438354492
1h1q,-8.179,-8.16411854493618,0.3329560458660126
