,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
30,-9.812,-10.058728524057194,1.3037220239639282
28,-11.112,-10.417348750440404,1.314023494720459
1oiy,-9.785,-9.088063773272559,1.2431598901748655
1oi9,-9.741,-9.674620159475133,1.349347472190857
32,-9.75,-10.962927587835118,1.2565597295761108
1oiu,-9.083,-10.749916442243382,0.7659531831741333
29,-9.882,-10.670015462247655,1.3238787651062012
1h1r,-7.669,-7.628641017286107,0.7158139944076538
21,-7.828,-7.299337752668187,0.993274450302124
26,-8.431,-8.018218286840245,0.7755049467086792
1h1s,-11.246,-10.063818522302434,1.2745856046676636
31,-9.539,-9.69322050413303,1.280937910079956
20,-8.718,-8.8435655613821,0.7067493200302124
22,-7.862,-7.4864132483880965,0.7868039011955261
17,-7.041,-7.690108903257176,0.7424708008766174
1h1q,-8.179,-7.333055504171178,0.6315175890922546
