,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
30,-9.812,-9.750935458384454,0.4966234862804413
28,-11.112,-9.66058590336889,0.6538321375846863
1oiy,-9.785,-9.542175524674356,0.5851001739501953
1oi9,-9.741,-10.167048775397241,0.9517005085945128
32,-9.75,-9.563332282744348,0.5664567947387695
1oiu,-9.083,-10.861643635474145,0.6197934150695801
29,-9.882,-9.563189678631723,0.6681361198425293
1h1r,-7.669,-8.299922072134912,0.4443891048431396
21,-7.828,-7.592308603964746,0.5648771524429321
26,-8.431,-8.676982038460672,0.5233423709869385
1h1s,-11.246,-9.41240920945257,0.5773885846138
31,-9.539,-9.408251606665551,0.4488168060779571
20,-8.718,-9.311660297952592,0.4034507572650909
22,-7.862,-7.625658117972314,0.6162199378013611
17,-7.041,-8.140058719359338,0.5030136108398438
1h1q,-8.179,-8.101838075362146,0.2552032768726349
