,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
30,-9.812,-9.950320481594652,0.9720878005027772
28,-11.112,-10.059886097248643,0.8265498280525208
1oiy,-9.785,-9.831354796227068,0.5286259651184082
1oi9,-9.741,-10.407603322800249,0.4750867187976837
32,-9.75,-9.95646578007564,1.036895513534546
1oiu,-9.083,-11.119701325234026,0.5310368537902832
29,-9.882,-10.017789184387773,0.837915301322937
1h1r,-7.669,-7.890553771790117,0.4530222117900848
21,-7.828,-7.134397446449846,0.5576675534248352
26,-8.431,-8.698380737837404,0.4505825042724609
1h1s,-11.246,-9.832625746067613,0.723021388053894
31,-9.539,-9.04089938038215,0.7537492513656616
20,-8.718,-9.092747590776533,0.3908363580703735
22,-7.862,-7.1360303752981125,0.6638630032539368
17,-7.041,-7.66172426873073,0.5044251084327698
1h1q,-8.179,-7.847519695099443,0.2492242306470871
