,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
18629-1,-8.67377,-7.738432692345755,0.4403418600559234
18634-1,-9.993231,-10.423142122086661,0.2995486557483673
18628-1,-8.702592,-7.405982064065116,0.445199579000473
18660-1,-8.702592,-9.864045487698691,0.6917070746421814
18624-1,-8.49337,-7.252298163231987,0.3038058280944824
18633-1,-9.174299,-8.115774380025046,0.5128481984138489
18635-1,-7.286071,-7.190270589646476,0.5026517510414124
17124-1,-9.675922,-11.035387085732596,0.4972526729106903
18625-1,-8.105004,-7.2232752311793735,0.47315314412117
18659-1,-9.465222,-10.476084040459769,0.5143344402313232
18637-1,-10.141692,-10.727043556031363,0.4795277714729309
18638-1,-10.093111,-11.47862331753649,0.7755149602890015
18652-1,-10.682977,-11.45155303364672,1.1183085441589355
18627-1,-8.483096,-8.11098210698046,0.4775122404098511
18658-1,-9.699398,-10.193802045640128,0.6494895815849304
18630-1,-9.142359,-7.7368942964641025,0.4452838003635406
18639-1,-9.740725,-11.556617902573722,0.4078515172004699
18631-1,-9.413821,-9.220017509516852,0.3640708029270172
18632-1,-9.083236,-8.292198525723594,0.3646777272224426
18636-1,-7.512318,-7.030722545441764,0.5228109359741211
18626-1,-8.872536,-8.614195303973334,0.3728967010974884
