,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
18629-1,-8.67377,-8.072517330873218,0.5720811486244202
18634-1,-9.993231,-9.940504367578235,0.4017999470233917
18628-1,-8.702592,-7.4466378047349115,0.5417754054069519
18660-1,-8.702592,-10.492584998834339,0.630361020565033
18624-1,-8.49337,-7.579794938791003,0.4521932303905487
18633-1,-9.174299,-8.363286729085651,0.5811635255813599
18635-1,-7.286071,-7.500065977800097,0.7979095578193665
17124-1,-9.675922,-10.727035100686756,0.6496340036392212
18625-1,-8.105004,-7.2385219886185785,0.5513461232185364
18659-1,-9.465222,-9.661465997922626,0.5412650108337402
18637-1,-10.141692,-10.415397937524524,0.5961217880249023
18638-1,-10.093111,-11.071776087510791,0.70537930727005
18652-1,-10.682977,-11.245576317537036,0.9231320023536682
18627-1,-8.483096,-8.282063837278095,0.557982861995697
18658-1,-9.699398,-10.388014610040393,0.8282443284988403
18630-1,-9.142359,-8.047056014764514,0.5519856810569763
18639-1,-9.740725,-10.980961973893848,0.4926944077014923
18631-1,-9.413821,-8.751616652238573,0.5362048745155334
18632-1,-9.083236,-8.53533446334621,0.386732816696167
18636-1,-7.512318,-7.530461127984728,0.8039698600769043
18626-1,-8.872536,-8.86666774295589,0.3889718949794769
