,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
18629-1,-8.67377,-8.061825569612276,0.4685539901256561
18634-1,-9.993231,-10.126362856370699,0.299608051776886
18628-1,-8.702592,-7.133965786439669,0.429475724697113
18660-1,-8.702592,-9.719798024636995,1.309125900268555
18624-1,-8.49337,-7.513328369600069,0.2887507677078247
18633-1,-9.174299,-8.340705867749941,0.4719580113887787
18635-1,-7.286071,-7.5077865681474325,0.5084950923919678
17124-1,-9.675922,-10.987542565805208,0.6046153903007507
18625-1,-8.105004,-6.913429912072909,0.4286539256572723
18659-1,-9.465222,-10.268515165788424,0.5595166087150574
18637-1,-10.141692,-10.605425652009737,0.5395893454551697
18638-1,-10.093111,-11.352931436044466,0.8875309824943542
18652-1,-10.682977,-11.066018398744356,1.2938473224639893
18627-1,-8.483096,-8.536901947004091,0.4477062225341797
18658-1,-9.699398,-9.863373931390536,0.7952908873558044
18630-1,-9.142359,-7.897502597314608,0.4349666237831116
18639-1,-9.740725,-11.253724988443148,0.4308765530586242
18631-1,-9.413821,-8.903434034330141,0.3278951942920685
18632-1,-9.083236,-8.784418936712038,0.4319085776805877
18636-1,-7.512318,-7.332899268609774,0.5068579912185669
18626-1,-8.872536,-8.967450123173487,0.4148986339569092
