,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
18629-1,-8.67377,-8.546032528507915,0.6400793790817261
18634-1,-9.993231,-9.670309464562145,0.5563665628433228
18628-1,-8.702592,-7.343486110794749,0.6926296949386597
18660-1,-8.702592,-9.601409684050287,0.7129542827606201
18624-1,-8.49337,-8.009044806587902,0.5333995819091797
18633-1,-9.174299,-8.795500348437036,0.6452677845954895
18635-1,-7.286071,-7.694768826592173,0.9164724946022034
17124-1,-9.675922,-10.357708494293895,0.7621532678604126
18625-1,-8.105004,-7.107536475289073,0.7441262602806091
18659-1,-9.465222,-9.954115848171917,0.6824620366096497
18637-1,-10.141692,-10.122688810456005,0.7167027592658997
18638-1,-10.093111,-10.740921060669628,0.83138507604599
18652-1,-10.682977,-10.855896393883434,0.9967864751815796
18627-1,-8.483096,-8.818090926039423,0.6258825659751892
18658-1,-9.699398,-9.643580715286937,0.8872986435890198
18630-1,-9.142359,-8.488780419457164,0.6163791418075562
18639-1,-9.740725,-10.545679967034069,0.6694487929344177
18631-1,-9.413821,-8.882671441066469,0.6201949715614319
18632-1,-9.083236,-9.210743854868616,1.029585599899292
18636-1,-7.512318,-7.344080965149607,0.8546243906021118
18626-1,-8.872536,-9.404294858801569,0.8115353584289551
