,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
26,-8.23584030891924,-8.540873086945895,0.6293668150901794
48,-6.6626190630157,-2.862836277978306,0.6264926791191101
33,-6.8752436973459,-6.9910762672590065,0.39738529920578
46,-7.60113429727595,-6.356626785294895,0.6721359491348267
35,-8.81264617449463,-7.555577850835209,0.438368946313858
31,-7.91951688961355,-7.3458043699430275,0.5994175672531128
52,-9.22585200324184,-10.168845332162267,0.8846564888954163
68,-7.6896119149271,-7.4504860406087685,0.6598902344703674
32,-6.58301699393044,-6.108854806916599,0.8690071702003479
38,-7.01900763427615,-8.121680638687495,0.857745885848999
51,-8.44846494324944,-5.695725596444492,0.6845722198486328
50,-9.32829709690352,-8.426538473861102,1.097211837768555
28,-6.62149034253618,-5.191869891183262,0.540507435798645
66,-8.43167143836328,-9.896854556100255,0.7242223620414734
39,-7.02680029426089,-6.92143169690836,1.032543659210205
37,-8.95356461676206,-9.349185264603978,0.6513792872428894
30,-7.85321195175529,-6.114828980462437,0.5689131617546082
54,-9.77997627425646,-9.500726974503879,0.6999224424362183
44,-8.6733813532598,-8.095055184261684,0.8685639500617981
23,-8.82854391662772,-8.335618800418262,0.7140859961509705
29,-6.93940556519089,-5.758272326485995,0.7099608182907104
40,-7.25302544244784,-7.459228253857975,0.9720856547355652
62,-7.95565704541698,-6.668587244050388,0.6878234148025513
61,-8.07943709994224,-9.62703541566599,0.8425920605659485
49,-8.36145743731744,-7.1242637400792885,1.0080245733261108
64,-9.4997930107542,-9.93600848962534,0.7051507830619812
41,-7.12924538792258,-7.576611048476582,0.825164258480072
65,-8.40733622276992,-12.10796061803568,0.6901456713676453
58,-9.40789916598878,-12.401230729119664,0.7903063893318176
63,-9.06225196641364,-12.100345051782018,0.7228711247444153
27,-6.11639066902356,-5.677767909066563,0.3853103816509247
47,-5.77553168796231,-5.423667824761753,1.2924164533615112
57,-9.03887132268158,-7.7773888771699715,0.65966796875
56,-9.25808309585768,-9.935038364426976,0.7268999218940735
53,-9.96486893166623,-11.671355879800206,0.7767609357833862
36,-8.17902305143249,-7.6773281161950875,0.5099964737892151
60,-8.91509126815632,-10.394434130685216,0.6474612951278687
45,-8.95356461676206,-9.425673401849156,0.5568177700042725
42,-8.89674735927531,-7.18959358979929,0.6335592269897461
67,-7.58092456527552,-10.809030449883824,0.7205842733383179
34,-6.86919156414505,-7.377447641389256,1.002049207687378
43,-7.03469617128338,-6.099617875115757,0.5824819803237915
