,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
26,-8.23584030891924,-7.706554780648832,0.7118868231773376
48,-6.6626190630157,-5.764973442004805,1.6816833019256592
33,-6.8752436973459,-7.9496715096103,0.441829115152359
46,-7.60113429727595,-7.947684603677874,0.7738708853721619
35,-8.81264617449463,-7.820157910631781,0.4382133781909942
31,-7.91951688961355,-8.433474282668714,0.555488109588623
52,-9.22585200324184,-10.355541746066695,1.507728934288025
68,-7.6896119149271,-7.2177354497181225,0.9799071550369264
32,-6.58301699393044,-7.287417988227491,0.7283449769020081
38,-7.01900763427615,-7.230092029021864,1.1016219854354858
51,-8.44846494324944,-5.657121936725264,0.7772185802459717
50,-9.32829709690352,-8.795428792880658,0.7080170512199402
28,-6.62149034253618,-6.556790630267744,0.677217423915863
66,-8.43167143836328,-9.073684136317853,0.8302415013313293
39,-7.02680029426089,-7.124561170982008,0.9762743711471558
37,-8.95356461676206,-8.46250076119769,0.5825868844985962
30,-7.85321195175529,-6.91771642391551,0.5039647221565247
54,-9.77997627425646,-8.747083286689405,0.7160170078277588
44,-8.6733813532598,-7.546443949388151,0.7307401895523071
23,-8.82854391662772,-7.680128822969084,0.8753833770751953
29,-6.93940556519089,-9.137773553775435,1.6114795207977295
40,-7.25302544244784,-8.395073483632688,1.1425877809524536
62,-7.95565704541698,-6.420462767528181,0.7722059488296509
61,-8.07943709994224,-9.51631502334941,0.75635826587677
49,-8.36145743731744,-8.672551731513623,0.6312388181686401
64,-9.4997930107542,-9.179959933208114,0.7807902693748474
41,-7.12924538792258,-7.743672202275877,0.8912938237190247
65,-8.40733622276992,-10.582504312442428,0.7076319456100464
58,-9.40789916598878,-11.009872238086349,0.9420906901359558
63,-9.06225196641364,-10.787305156634933,0.9736965894699096
27,-6.11639066902356,-6.545033018039351,0.4284491539001465
47,-5.77553168796231,-4.830957452701216,0.8651044368743896
57,-9.03887132268158,-7.115183154986982,0.7331042885780334
56,-9.25808309585768,-8.935705403731948,0.809772789478302
53,-9.96486893166623,-10.242161552356368,1.3524383306503296
36,-8.17902305143249,-7.92115722869504,0.5134434700012207
60,-8.91509126815632,-9.139978806422835,0.6587256193161011
45,-8.95356461676206,-7.172621528552656,1.4874039888381958
42,-8.89674735927531,-6.622710267947798,0.6298846006393433
67,-7.58092456527552,-9.518537442134505,0.671466052532196
34,-6.86919156414505,-8.457214246438626,0.6585363149642944
43,-7.03469617128338,-7.026869694636946,0.9148756861686708
