,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
26,-8.23584030891924,-8.51257296866807,0.5117101669311523
48,-6.6626190630157,-2.189509058660594,0.5134488940238953
33,-6.8752436973459,-6.631727481550304,0.2733703255653381
46,-7.60113429727595,-6.812078858083812,0.5232406258583069
35,-8.81264617449463,-7.242203140920726,0.3411057293415069
31,-7.91951688961355,-6.80687000817689,0.5258326530456543
52,-9.22585200324184,-10.782023812002269,0.6360083818435669
68,-7.6896119149271,-7.920208897731034,0.6123500466346741
32,-6.58301699393044,-5.81130971974763,0.6627146601676941
38,-7.01900763427615,-10.358600760168162,0.8403653502464294
51,-8.44846494324944,-5.749514485067454,0.9996448159217834
50,-9.32829709690352,-9.0613283163968,0.5849704742431641
28,-6.62149034253618,-3.986980820364085,0.6040603518486023
66,-8.43167143836328,-9.93825485772523,0.6491858959197998
39,-7.02680029426089,-8.027979919976321,0.6237220764160156
37,-8.95356461676206,-9.206842208570567,0.4214781820774078
30,-7.85321195175529,-5.5772246367398175,0.4573787748813629
54,-9.77997627425646,-9.679889107412425,0.6362491846084595
44,-8.6733813532598,-8.411137456363765,0.3705353140830993
23,-8.82854391662772,-8.314009601539698,0.6776743531227112
29,-6.93940556519089,-3.2608090884152325,0.6105344295501709
40,-7.25302544244784,-7.273577953046885,1.33098566532135
62,-7.95565704541698,-6.961470032400218,0.864452064037323
61,-8.07943709994224,-9.481300140089122,0.5631287693977356
49,-8.36145743731744,-6.626669073766795,0.4815759062767029
64,-9.4997930107542,-10.391807461446849,0.627406895160675
41,-7.12924538792258,-8.454206431573954,1.391206979751587
65,-8.40733622276992,-12.32460227078828,0.5127474069595337
58,-9.40789916598878,-12.969700480169383,0.5683000087738037
63,-9.06225196641364,-12.958589220708934,0.5445764660835266
27,-6.11639066902356,-4.9292589671078595,0.327410876750946
47,-5.77553168796231,-3.4754444605770978,0.8678399324417114
57,-9.03887132268158,-7.4211676365796,0.5816128253936768
56,-9.25808309585768,-10.222688580221263,0.5236256122589111
53,-9.96486893166623,-12.376609945959178,0.5621533989906311
36,-8.17902305143249,-7.514303470319835,0.4626969397068023
60,-8.91509126815632,-10.662928486532298,0.4550301134586334
45,-8.95356461676206,-8.56359210080537,0.590732991695404
42,-8.89674735927531,-6.791412974065868,0.6001214385032654
67,-7.58092456527552,-11.035104895299998,0.5281614065170288
34,-6.86919156414505,-7.597879940933314,0.4235619902610779
43,-7.03469617128338,-6.934994126028148,0.8320227861404419
