,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
26,-8.23584030891924,-8.467031000241382,0.501190185546875
48,-6.6626190630157,-3.5654178839770383,1.2817597389221191
33,-6.8752436973459,-7.816222531780345,0.3398730456829071
46,-7.60113429727595,-7.408423660382373,0.6634854078292847
35,-8.81264617449463,-7.59548789082442,0.3745965957641601
31,-7.91951688961355,-7.974296117610042,0.5068982839584351
52,-9.22585200324184,-9.911571143254383,0.8449248671531677
68,-7.6896119149271,-7.7123208325949735,0.6961549520492554
32,-6.58301699393044,-6.969530580624682,0.9277138113975524
38,-7.01900763427615,-6.755323885068042,0.3749953806400299
51,-8.44846494324944,-5.9854389411059445,0.7347097396850586
50,-9.32829709690352,-8.573572335824116,0.8267527222633362
28,-6.62149034253618,-5.451333163365466,0.5031334161758423
66,-8.43167143836328,-9.877958891972645,0.7387840747833252
39,-7.02680029426089,-6.334558365925891,0.978035569190979
37,-8.95356461676206,-8.979736922368152,0.499603807926178
30,-7.85321195175529,-6.482276199444873,0.4383100569248199
54,-9.77997627425646,-9.590133665188892,1.0914344787597656
44,-8.6733813532598,-8.127237556561573,0.5109360814094543
23,-8.82854391662772,-8.326166240557773,0.6230894327163696
29,-6.93940556519089,-6.625300167187793,1.230262041091919
40,-7.25302544244784,-6.683049438580615,0.6826971173286438
62,-7.95565704541698,-7.241903601273639,0.6709425449371338
61,-8.07943709994224,-9.326504586323841,0.9258192777633668
49,-8.36145743731744,-7.885494915827853,0.7173612117767334
64,-9.4997930107542,-10.180267689808948,0.9235594272613524
41,-7.12924538792258,-7.467553494557483,1.1796486377716064
65,-8.40733622276992,-11.423573134526354,0.6025794148445129
58,-9.40789916598878,-11.624738572224718,0.7456912398338318
63,-9.06225196641364,-11.502316353901964,0.6790524125099182
27,-6.11639066902356,-6.423899171933276,0.3389084041118622
47,-5.77553168796231,-4.140516398533923,0.6733750700950623
57,-9.03887132268158,-7.711724100693805,0.5397797226905823
56,-9.25808309585768,-9.595284579381092,0.6410123705863953
53,-9.96486893166623,-10.93343531905089,0.7467825412750244
36,-8.17902305143249,-7.466218529328448,0.4608814120292663
60,-8.91509126815632,-9.83602368651305,0.5813860297203064
45,-8.95356461676206,-9.008492825612171,0.9993403553962708
42,-8.89674735927531,-7.331271408185107,0.5313775539398193
67,-7.58092456527552,-10.2001188975421,0.5972950458526611
34,-6.86919156414505,-8.086764818116768,0.914894700050354
43,-7.03469617128338,-6.649894354924304,0.6495553255081177
