,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
p38a_2n,-11.854,-12.316063614166906,0.605802059173584
p38a_3flz,-9.4871,-10.626226277626683,0.7518135905265808
p38a_2h,-9.477,-8.539097042359044,0.7567943930625916
p38a_2s,-11.112,-11.085620732582738,0.7189468741416931
p38a_2bb,-9.064,-9.351702661789586,0.7334696650505066
p38a_2q,-12.264,-11.222064705170324,0.9993734359741212
p38a_2z,-10.359,-10.81589642313831,0.9180298447608948
p38a_3fmh,-10.8254,-11.059018702782323,1.169931411743164
p38a_2f,-8.484,-10.577356936014821,0.6430100202560425
p38a_2v,-8.973,-4.175322027481725,0.6458241939544678
p38a_3fln,-10.8817,-10.635063798702886,0.4707436263561249
p38a_2t,-11.854,-13.045929641998937,0.5044769644737244
p38a_2r,-10.793,-11.197997899330785,1.0732663869857788
p38a_3fly,-11.423,-10.898423285759618,0.8215489983558655
p38a_2u,-12.264,-10.491232933081319,1.5258259773254397
p38a_2l,-12.264,-12.346655578888585,0.4668693542480469
p38a_2aa,-9.268,-10.30187916902416,0.91100412607193
p38a_2gg,-10.661,-10.664380998886754,0.8758357167243958
p38a_2k,-10.553,-9.707995326794316,0.7860053777694702
p38a_3flq,-9.93099,-10.478926749504735,1.1885513067245483
p38a_2p,-11.204,-11.455593200005223,0.6486470103263855
p38a_3fmk,-11.8325,-12.14077720192783,1.3550249338150024
p38a_2j,-10.081,-10.595534147299459,0.7733612060546875
p38a_2g,-10.661,-10.53482628015392,0.5279529094696045
p38a_2c,-10.462,-8.882503838814428,1.5108519792556765
p38a_2x,-10.232,-9.751044036425283,0.7723029255867004
p38a_3flw,-10.683,-12.155837745941808,1.119057536125183
p38a_2e,-10.702,-10.392765568174054,0.7484458088874817
p38a_2ee,-12.264,-10.962599070347478,0.8927294015884399
p38a_2y,-9.776,-10.468593986309697,1.0103089809417725
p38a_2i,-10.052,-10.526573510445287,0.784048318862915
p38a_2o,-10.491,-11.400031657494237,0.5116487145423889
p38a_2ff,-11.443,-10.864941151417424,0.653434157371521
p38a_2m,-10.963,-12.970214100159337,0.6353272795677185
