,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
p38a_2n,-11.854,-11.116519510971635,0.8048810362815857
p38a_3flz,-9.4871,-11.684009075390428,0.8828114867210388
p38a_2h,-9.477,-10.665843823529409,1.1840024590492249
p38a_2s,-11.112,-10.184122175203889,1.1920865774154663
p38a_2bb,-9.064,-10.387240171658128,1.220781326293945
p38a_2q,-12.264,-13.623412132488816,2.632756471633911
p38a_2z,-10.359,-9.69060951493892,1.0873005390167236
p38a_3fmh,-10.8254,-10.886368006693452,1.4188224077224731
p38a_2f,-8.484,-11.2591373922697,0.8107150793075562
p38a_2v,-8.973,-8.626380920635789,1.3858948945999146
p38a_3fln,-10.8817,-10.45172877632293,0.6963545680046082
p38a_2t,-11.854,-11.089832872377961,0.7353580594062805
p38a_2r,-10.793,-9.984127640949815,1.3852381706237793
p38a_3fly,-11.423,-9.708220064865678,0.9580458998680116
p38a_2u,-12.264,-12.878730535732835,2.6608974933624268
p38a_2l,-12.264,-11.576592564808458,0.7378238439559937
p38a_2aa,-9.268,-9.751113057362168,1.027418613433838
p38a_2gg,-10.661,-10.736572131740182,0.7572005391120911
p38a_2k,-10.553,-9.55086708091411,0.7549057006835938
p38a_3flq,-9.93099,-9.801777422653764,1.5891159772872925
p38a_2p,-11.204,-11.191854238735765,0.7954608798027039
p38a_3fmk,-11.8325,-11.3926081659666,1.294827580451965
p38a_2j,-10.081,-9.048742175327867,0.7489069104194641
p38a_2g,-10.661,-10.723183736430734,0.6600956320762634
p38a_2c,-10.462,-12.012884140240281,4.0188164710998535
p38a_2x,-10.232,-9.78955423854503,1.1753615140914917
p38a_3flw,-10.683,-10.947730243431657,1.1544771194458008
p38a_2e,-10.702,-10.573970902936786,0.7837657928466797
p38a_2ee,-12.264,-10.791039541589349,0.7736014723777771
p38a_2y,-9.776,-9.79141712211284,1.1636687517166138
p38a_2i,-10.052,-9.469383716808885,0.9175198078155518
p38a_2o,-10.491,-10.532010197865098,1.3068910837173462
p38a_2ff,-11.443,-10.95936042092952,0.7762444019317627
p38a_2m,-10.963,-11.761746287571519,0.7640350461006165
