,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
p38a_2n,-11.854,-12.366177929498765,0.6156812906265259
p38a_3flz,-9.4871,-10.239202292569491,0.5101162791252136
p38a_2h,-9.477,-7.319320572473618,0.8719143271446228
p38a_2s,-11.112,-11.511674059488389,1.197393536567688
p38a_2bb,-9.064,-9.53802080259523,0.7101234197616577
p38a_2q,-12.264,-14.195484293558213,1.169392228126526
p38a_2z,-10.359,-10.073320893504235,0.678469717502594
p38a_3fmh,-10.8254,-10.69443593726358,0.9043602347373962
p38a_2f,-8.484,-9.627112103559586,0.5166184306144714
p38a_2v,-8.973,-8.134154928781602,0.7624183297157288
p38a_3fln,-10.8817,-10.510692728616807,0.3722731173038482
p38a_2t,-11.854,-12.950199259378525,0.4754480719566345
p38a_2r,-10.793,-11.618886960603806,0.9063864350318908
p38a_3fly,-11.423,-10.072709498860451,0.5903085470199585
p38a_2u,-12.264,-12.90947426662645,1.3409323692321775
p38a_2l,-12.264,-12.18903936252794,0.4489687085151672
p38a_2aa,-9.268,-9.229725135423752,0.7304276823997498
p38a_2gg,-10.661,-10.542131347515198,0.5874123573303223
p38a_2k,-10.553,-9.815519554473969,0.6625294089317322
p38a_3flq,-9.93099,-9.462009502508256,0.7140600681304932
p38a_2p,-11.204,-11.811494959451768,0.6044653058052063
p38a_3fmk,-11.8325,-11.784882081606003,1.019871473312378
p38a_2j,-10.081,-9.510198904134842,0.8895412683486938
p38a_2g,-10.661,-10.585380924799058,0.3711644113063812
p38a_2c,-10.462,-9.441089583494279,2.4570322036743164
p38a_2x,-10.232,-9.487328959562394,0.939970076084137
p38a_3flw,-10.683,-11.629549873926255,0.7050110697746277
p38a_2e,-10.702,-9.798685653068635,0.4836659431457519
p38a_2ee,-12.264,-11.102310134031388,0.583480715751648
p38a_2y,-9.776,-10.14671031192741,1.1995649337768557
p38a_2i,-10.052,-9.56440807686052,0.5527269244194031
p38a_2o,-10.491,-10.948509646513077,0.6633807420730591
p38a_2ff,-11.443,-10.866556657411667,0.6244233846664429
p38a_2m,-10.963,-12.962292803384873,0.5509286522865295
