,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
p38a_2n,-11.854,-12.206246325799471,0.6847800612449646
p38a_3flz,-9.4871,-9.836913982459551,0.6664307117462158
p38a_2h,-9.477,-8.30448205215598,0.867103099822998
p38a_2s,-11.112,-10.892404804059511,0.8054680824279785
p38a_2bb,-9.064,-9.649341711827761,1.041934370994568
p38a_2q,-12.264,-11.935019323655611,3.026717185974121
p38a_2z,-10.359,-10.658259311744219,0.7937567234039307
p38a_3fmh,-10.8254,-11.304785916635042,1.1493964195251465
p38a_2f,-8.484,-9.850811997481829,0.625743567943573
p38a_2v,-8.973,-8.494980881043919,1.0292547941207886
p38a_3fln,-10.8817,-10.67871932131911,0.519594669342041
p38a_2t,-11.854,-12.967783043214329,0.5721879601478577
p38a_2r,-10.793,-10.516106108256823,1.1232223510742188
p38a_3fly,-11.423,-10.352522904106623,0.7058013677597046
p38a_2u,-12.264,-11.023534784146792,3.096656084060669
p38a_2l,-12.264,-12.161519119569308,0.5678021907806396
p38a_2aa,-9.268,-10.219447126316114,0.7568231821060181
p38a_2gg,-10.661,-10.659654596873766,0.6336753368377686
p38a_2k,-10.553,-9.855886766740328,0.6955363154411316
p38a_3flq,-9.93099,-10.179308770277745,1.2311341762542725
p38a_2p,-11.204,-11.496079275437838,0.6809550523757935
p38a_3fmk,-11.8325,-11.852777907678133,0.9699140191078186
p38a_2j,-10.081,-9.968387970754153,0.675865113735199
p38a_2g,-10.661,-10.582273850270754,0.4912225902080536
p38a_2c,-10.462,-8.29882390243674,2.0285420417785645
p38a_2x,-10.232,-10.041296059319025,0.913375735282898
p38a_3flw,-10.683,-12.053061911889559,0.8134194612503052
p38a_2e,-10.702,-9.616542587110049,0.6639277935028076
p38a_2ee,-12.264,-10.840018222161776,0.6983258128166199
p38a_2y,-9.776,-10.420103902050501,1.0790724754333496
p38a_2i,-10.052,-10.870374688931948,1.0336649417877195
p38a_2o,-10.491,-11.429982254334934,0.8685978651046753
p38a_2ff,-11.443,-10.691536078282839,0.6987128257751465
p38a_2m,-10.963,-12.729702541657932,0.6204121708869934
