,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
23469,-7.72301857947764,-7.873045762390433,1.317525029182434
23472,-8.64628903953511,-8.648622681707678,1.1226720809936523
23474,-9.11205847715563,-9.697930415481864,1.0853509902954102
23480,-8.71754822596421,-8.237714072079001,2.8746542930603027
23470,-7.72301857947764,-7.575250109047232,1.0147919654846191
23486,-12.4697848806838,-10.881187637657462,1.0724631547927856
20669(2qbr),-8.60732535283582,-8.692600478739081,0.8093825578689575
23482,-10.0065068747035,-9.674514075130759,0.8297854661941528
23483,-9.8746881466035,-9.195314069599448,0.985759973526001
23473,-8.3891313751788,-9.023420186102925,0.8244682550430298
20670(2qbs),-9.08323641464599,-8.644364078850089,0.664130449295044
23468,-7.75184064198728,-7.839449842781363,0.7776879668235779
23475,-8.71754822596421,-9.270819147438345,0.707696259021759
20667(2qbp),-11.4230277784695,-10.515536506981192,1.0699251890182495
23477,-8.85316590670652,-8.535915037006674,1.186715006828308
23471,-7.75184064198728,-7.8032277425234895,0.8568885922431946
23485,-11.0135614094467,-10.770887573570548,1.877739667892456
23467,-7.34237427296449,-8.481253584236441,0.8727336525917053
23466,-7.84784627805605,-8.0421112378543,0.6618684530258179
23476,-9.4138211030936,-10.069604714721976,1.4381144046783447
23484,-7.75184064198728,-9.353737612575827,2.03400993347168
23479,-9.14235922654499,-8.599614073843298,1.4496759176254272
23330(2qbq),-10.1250500980544,-10.06076153120452,0.7944958209991455
