,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
23469,-7.72301857947764,-8.404136229667861,0.9836900234222412
23472,-8.64628903953511,-8.929136205826003,0.9481469988822936
23474,-9.11205847715563,-9.752114940796096,0.7946388125419617
23480,-8.71754822596421,-8.896258976671893,1.3539340496063232
23470,-7.72301857947764,-7.143948067341048,1.1531744003295898
23486,-12.4697848806838,-9.94968580118199,1.0331298112869265
20669(2qbr),-8.60732535283582,-9.330236215505797,0.8688102960586548
23482,-10.0065068747035,-9.906943787250716,0.8242153525352478
23483,-9.8746881466035,-9.545593787346084,1.692431926727295
23473,-8.3891313751788,-8.968419222522575,1.0885084867477417
20670(2qbs),-9.08323641464599,-8.90916230938216,0.5022108554840088
23468,-7.75184064198728,-7.465995420131882,0.6423422694206238
23475,-8.71754822596421,-9.054846596334178,0.7789763808250427
20667(2qbp),-11.4230277784695,-9.685720075283248,1.0413095951080322
23477,-8.85316590670652,-9.280569512758452,0.8900783061981201
23471,-7.75184064198728,-8.018957008037765,0.741058349609375
23485,-11.0135614094467,-9.065449212107856,1.3086977005004885
23467,-7.34237427296449,-8.577805597696502,1.04486083984375
23466,-7.84784627805605,-7.602705348644455,0.6501935720443726
23476,-9.4138211030936,-10.153721798572738,1.21864914894104
23484,-7.75184064198728,-9.99922286382695,1.1617038249969482
23479,-9.14235922654499,-8.19259386173268,1.2209047079086304
23330(2qbq),-10.1250500980544,-10.653659332905013,0.7725704908370972
