,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
23469,-7.72301857947764,-7.892220941450172,1.1315536499023438
23472,-8.64628903953511,-8.647489246990258,0.9290536046028136
23474,-9.11205847715563,-9.3121359321137,1.179523468017578
23480,-8.71754822596421,-9.262229737903647,0.7696435451507568
23470,-7.72301857947764,-7.455844965841346,0.7937136292457581
23486,-12.4697848806838,-10.32781359281736,0.912385642528534
20669(2qbr),-8.60732535283582,-9.244883743192725,0.7325326800346375
23482,-10.0065068747035,-10.12259503927427,0.822650134563446
23483,-9.8746881466035,-9.997145083810858,0.9050952196121216
23473,-8.3891313751788,-8.274840918447548,0.7770688533782959
20670(2qbs),-9.08323641464599,-9.028604677956276,0.7155293226242065
23468,-7.75184064198728,-7.4554824503918224,0.6846309900283813
23475,-8.71754822596421,-8.701017317440087,0.7044909596443176
20667(2qbp),-11.4230277784695,-10.09903785314756,0.9190995693206788
23477,-8.85316590670652,-8.682608154680306,1.503407001495361
23471,-7.75184064198728,-7.802143183614784,0.8701570630073547
23485,-11.0135614094467,-9.603027788068825,0.9878509640693665
23467,-7.34237427296449,-8.213856426145608,0.9181298017501832
23466,-7.84784627805605,-7.806723681356483,0.6557430624961853
23476,-9.4138211030936,-9.766578939821297,1.8761353492736816
23484,-7.75184064198728,-10.911895123388344,1.243727445602417
23479,-9.14235922654499,-8.594713446762139,0.8149781227111816
23330(2qbq),-10.1250500980544,-10.283993926908547,0.94179105758667
