,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
ejm_31,-9.54,-9.556699505690485,0.2405801266431808
jmc_30,-10.94,-10.688513396922499,0.5359897613525391
ejm_50,-8.98,-9.497963457051664,0.3380383551120758
ejm_46,-11.31,-10.509124158564955,0.4499846696853637
ejm_55,-9.21,-10.613698183242231,0.5161340236663818
ejm_43,-8.26,-8.458807824794203,0.4939182698726654
jmc_28,-10.98,-9.766400738302618,0.5393043160438538
ejm_49,-7.75,-9.019284723941237,0.433984637260437
ejm_45,-9.56,-10.159548132363707,0.4318331480026245
ejm_44,-7.42,-6.366889356318861,0.7594538331031799
jmc_27,-11.28,-10.520087419692427,0.624106228351593
ejm_48,-9.0,-9.487191079799086,0.3769331276416778
ejm_47,-9.7,-9.43240576857701,0.5847674012184143
jmc_23,-11.7,-10.779356120768934,0.6366850137710571
ejm_42,-9.78,-9.83177564913407,0.2941720485687256
ejm_54,-10.53,-11.252254484836012,0.4367251098155975
