,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
ejm_31,-9.54,-9.812806439734995,0.2820424437522888
jmc_30,-10.94,-10.455850732661784,0.4716254472732544
ejm_50,-8.98,-9.860091132260859,0.3767513036727905
ejm_46,-11.31,-10.322342765666544,0.4504334032535553
ejm_55,-9.21,-10.840045583583414,0.4996324479579925
ejm_43,-8.26,-8.369308841563761,0.5356526970863342
jmc_28,-10.98,-9.211904716826975,0.4853291809558868
ejm_49,-7.75,-10.727006447650492,2.989414691925049
ejm_45,-9.56,-10.167418820001185,0.4565805792808532
ejm_44,-7.42,-6.385771167613566,0.4964757561683655
jmc_27,-11.28,-9.989827972985804,0.5765561461448669
ejm_48,-9.0,-9.027477574683726,0.4262313544750213
ejm_47,-9.7,-9.279456508494913,0.4232002198696136
jmc_23,-11.7,-10.455515337325632,0.6096029877662659
ejm_42,-9.78,-9.918154862858355,0.3280196785926819
ejm_54,-10.53,-11.117021096087992,0.4654690027236938
