,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
ejm_31,-9.54,-9.991135415770113,0.2099545896053314
jmc_30,-10.94,-10.445150491930544,0.419954389333725
ejm_50,-8.98,-9.994411227442324,0.3248153030872345
ejm_46,-11.31,-10.325223741270602,0.3720627129077911
ejm_55,-9.21,-10.87019914124161,0.4700529873371124
ejm_43,-8.26,-8.707338032461703,0.4529555439949035
jmc_28,-10.98,-9.254636851288378,0.3419110178947449
ejm_49,-7.75,-9.235961762405932,0.6783548593521118
ejm_45,-9.56,-10.131117460466921,0.4166439175605774
ejm_44,-7.42,-6.704405841566622,0.6243853569030762
jmc_27,-11.28,-10.014187273718417,0.465781033039093
ejm_48,-9.0,-9.026005265451968,0.5662305355072021
ejm_47,-9.7,-9.49890754852444,0.5205721855163574
jmc_23,-11.7,-10.494330224730074,0.4675556719303131
ejm_42,-9.78,-10.044897255636752,0.2673576176166534
ejm_54,-10.53,-11.2020924660936,0.4661837816238403
