,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
ejm_31,-9.54,-9.653417699420825,0.2286550104618072
jmc_30,-10.94,-10.511505835140124,0.4679429829120636
ejm_50,-8.98,-9.702918548518792,0.431106835603714
ejm_46,-11.31,-10.185572259509936,0.3894707560539245
ejm_55,-9.21,-11.040393405044451,0.7051823735237122
ejm_43,-8.26,-8.499387912834063,0.4702789187431335
jmc_28,-10.98,-9.398014806592837,0.3739422857761383
ejm_49,-7.75,-9.009727470958605,0.3744106888771057
ejm_45,-9.56,-10.197320811832324,0.46940478682518
ejm_44,-7.42,-6.9856315184477715,0.5520949363708496
jmc_27,-11.28,-10.12636058815755,0.4888527691364288
ejm_48,-9.0,-9.159528963649645,0.3771392107009887
ejm_47,-9.7,-9.456250973427668,0.5628345012664795
jmc_23,-11.7,-10.462824874008074,0.4934944808483124
ejm_42,-9.78,-9.867664494002238,0.3379346430301666
ejm_54,-10.53,-11.683479838455096,0.9717515707015992
