,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
1b,-8.46,-8.488355597569182,0.2375705242156982
1d,-8.25,-8.354374755261972,0.4159460067749023
3b,-7.86,-7.81319602401419,0.4058579504489898
1a,-7.48,-7.86722212107344,0.3417717218399048
6a,-9.18,-9.263925215317443,0.4599471390247345
7a,-8.22,-8.142392119480803,0.4724232256412506
3a,-8.32,-8.346888434229925,0.4022242426872253
5,-7.58,-7.677092095925048,0.4563645124435425
6b,-8.89,-8.51216403217478,0.3497485220432281
6e,-8.91,-8.57701369197531,0.3955966830253601
1c,-8.56,-8.667375912977889,0.3335686326026916
