,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
1b,-8.46,-8.402515676807273,0.2297691702842712
1d,-8.25,-8.351210390220988,0.4117958843708038
3b,-7.86,-6.877832737754691,0.3853014707565307
1a,-7.48,-7.613428440879691,0.3100169003009796
6a,-9.18,-9.994754758666861,0.3622403144836426
7a,-8.22,-8.01816054899584,0.4196819961071014
3a,-8.32,-8.108171892355788,0.3444517254829407
5,-7.58,-6.939589110206473,0.4736976623535156
6b,-8.89,-9.246715453456748,0.3243839740753174
6e,-8.91,-9.489162054847586,0.3897013962268829
1c,-8.56,-8.66845893580805,0.3246414363384247
