,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
1b,-8.46,-8.46077553987503,0.2307195961475372
1d,-8.25,-8.542228870689868,0.418590784072876
3b,-7.86,-6.950801097452639,0.4071705341339111
1a,-7.48,-7.594622575342654,0.3105630874633789
6a,-9.18,-9.992425405085086,0.3519226312637329
7a,-8.22,-7.887087874710558,0.4280596971511841
3a,-8.32,-8.1420890173316,0.3564628958702087
5,-7.58,-6.845912300646304,0.4447296559810638
6b,-8.89,-9.16067054182291,0.3284297883510589
6e,-8.91,-9.410936318933963,0.4001935422420501
1c,-8.56,-8.722450458109378,0.3312362134456634
