,experimental_delta_g,predicted_delta_g,predicted_delta_g_err
1b,-8.46,-8.492884991439904,0.2385217100381851
1d,-8.25,-8.545122964057054,0.4223535060882568
3b,-7.86,-7.010368792089547,0.4299488067626953
1a,-7.48,-7.710496810945596,0.3140388131141662
6a,-9.18,-9.691856471571054,0.4409360289573669
7a,-8.22,-7.93959712770852,0.476698637008667
3a,-8.32,-8.162833926948633,0.3486469089984894
5,-7.58,-7.161782828840341,0.5033106207847595
6b,-8.89,-9.054875222715463,0.3541712164878845
6e,-8.91,-9.206849841150369,0.4047720730304718
1c,-8.56,-8.733331022533502,0.3376156389713287
