Target,Ligand,expddg,mean_plddt,ranking_confidence,ligand_rmsd,kabsch_rmsd,global_rmsd_ca,pocket_rmsd_ca,global_rmsd_aa,pocket_rmsd_aa
BACE,CAT-4a,-7.933,96.96133396697792,0.98268408071217,0.6530426996904932,0.286307770289094,0.6234605312347412,0.1402413994073867,0.8288333415985107,0.4143032133579254
BACE,CAT-13m,-8.763,96.90530266585513,0.9884296463300997,1.148140989143921,1.0334721850482167,0.8116276860237122,0.1532720327377319,1.127024531364441,0.4233634173870086
BACE,CAT-4d,-9.113,96.40634534182583,0.9874787014981616,1.2245788453878454,1.018613595385789,0.5319030284881592,0.1662634015083313,0.8404682278633118,0.4263714253902435
BACE,CAT-17e,-10.023,96.53627010464645,0.9920922595667493,1.2563696521554248,1.0109875425806245,0.8291082978248596,0.2347320616245269,1.1345789432525637,0.8753952980041504
BACE,CAT-13h,-9.633,96.85028352688364,0.9913159984270845,1.2856479079955496,1.0369486613911771,0.3964379429817199,0.221037819981575,0.7577999234199524,0.9330257177352904
BACE,CAT-17a,-10.733,96.90221599419424,0.9820048124675687,0.768175400357422,0.247995961425971,0.6206611394882202,0.2529183626174927,0.8310564756393433,0.8512245416641235
BACE,CAT-17g,-9.743,96.8875121749161,0.9917291612537316,1.2546559086249978,1.0119652687122929,0.5880613327026367,0.1969517320394516,0.844558596611023,0.9033134579658508
BACE,CAT-4j,-9.023,96.9841315802306,0.985821554186463,1.2099148771711177,1.0017583234700955,0.8105848431587219,0.1331534832715988,1.1249128580093384,0.4166381657123565
BACE,CAT-13e,-9.963,96.88674879683697,0.9912536172917241,1.250043992368726,1.035162790022759,0.6325330138206482,0.2165963947772979,0.869847297668457,0.8261300921440125
BACE,CAT-17b,-10.023,96.62657886080349,0.9927399142320167,1.256222188415197,1.0167779691223189,0.5907883644104004,0.2042181342840194,0.8557044863700867,0.8911802768707275
BACE,CAT-4p,-10.083,96.97491229627926,0.9885740184549465,1.218908948902372,1.024348680634715,0.8113212585449219,2.71523666381836,1.0961312055587769,2.496771812438965
BACE,CAT-24,-11.35,96.21606633939852,0.9910705504306685,1.166157898726371,1.010913003147696,0.4822157323360443,0.2294079512357711,0.8048887252807617,0.8590868711471558
BACE,CAT-13k,-9.703,96.87134837796283,0.9880774244424336,1.215257349778423,1.0318697313461775,0.6330419182777405,2.7130141258239746,0.8448056578636169,2.493921995162964
BACE,CAT-13g,-9.093,96.97574271736597,0.988348927652384,1.238317440454318,1.0274397828213688,0.6044071912765503,0.1531717777252197,0.8360949754714966,0.4170700013637543
BACE,CAT-13d,-10.473,96.98573810637659,0.9929593766460785,1.235085830061639,1.030205450710689,0.811465322971344,0.2061846405267715,1.0990808010101318,0.8835569024085999
BACE,CAT-4m,-9.153,96.61675797722636,0.9866114489447613,1.2500626228123055,1.0289082566818626,0.4692141413688659,0.1263035088777542,0.772545337677002,0.4201943576335907
